HCPCS,MOD,DESCRIPTION,STATUS
45397,,Lap remove rectum w/pouch,A
45398,,Colonoscopy w/band ligation,A
45399,,Unlisted procedure colon,C
4540F,,Disease modif pharmacothxpy,I
45400,,Laparoscopic proc,A
45402,,Lap proctopexy w/sig resect,A
4541F,,Pt offered tx for pseudobulb,I
45499,,Laparoscope proc rectum,C
4550F,,Noninvas resp support talk,I
45500,,Repair of rectum,A
45505,,Repair of rectum,A
4551F,,Nutritional support offered,I
4552F,,Pt ref for speech lang path,I
45520,,Treatment of rectal prolapse,A
4553F,,Pt asst re end life issues,I
4554F,,Pt recvd inhal anesthetic,M
45540,,Correct rectal prolapse,A
45541,,Correct rectal prolapse,A
4555F,,Pt recvd no inhal anesthic,I
45550,,Repair rectum/remove sigmoid,A
4556F,,Pt w/3+ post-op nausea&vom,M
45560,,Repair of rectocele,A
45562,,Exploration/repair of rectum,A
45563,,Exploration/repair of rectum,A
4557F,,Pt w/o 3+ post-opnausea&vom,I
4558F,,Pt recvd 2 rx anti-emet agt,I
4559F,,1 bodytemp >=35.5cw/in 30min,I
4560F,,Anesth w/o gen/neurax anesth,I
4561F,,Pt w/ coronary artery stent,I
4562F,,Pt w/o coronary artery stent,I
4563F,,Pt recvd aspirin w/in 24 hrs,I
45800,,Repair rect/bladder fistula,A
45805,,Repair fistula w/colostomy,A
45820,,Repair rectourethral fistula,A
45825,,Repair fistula w/colostomy,A
45900,,Reduction of rectal prolapse,A
45905,,Dilation of anal sphincter,A
45910,,Dilation of rectal narrowing,A
45915,,Remove rectal obstruction,A
45990,,Surg dx exam anorectal,A
45999,,Unlisted procedure rectum,C
46020,,Placement of seton,A
46030,,Removal of rectal marker,A
46040,,Incision of rectal abscess,A
46045,,Incision of rectal abscess,A
46050,,Incision of anal abscess,A
46060,,Incision of rectal abscess,A
46070,,Incision of anal septum,A
46080,,Incision of anal sphincter,A
46083,,Incise external hemorrhoid,A
46200,,Removal of anal fissure,A
46220,,Excise anal ext tag/papilla,A
46221,,Ligation of hemorrhoid(s),A
46230,,Removal of anal tags,A
46250,,Remove ext hem groups 2+,A
46255,,Remove int/ext hem 1 group,A
46257,,Remove in/ex hem grp & fiss,A
46258,,Remove in/ex hem grp w/fistu,A
46260,,Remove in/ex hem groups 2+,A
46261,,Remove in/ex hem grps & fiss,A
46262,,Remove in/ex hem grps w/fist,A
46270,,Remove anal fist subq,A
46275,,Remove anal fist inter,A
46280,,Remove anal fist complex,A
46285,,Remove anal fist 2 stage,A
46288,,Repair anal fistula,A
46320,,Removal of hemorrhoid clot,A
46500,,Injection into hemorrhoid(s),A
46505,,Chemodenervation anal musc,A
46600,,Diagnostic anoscopy spx,A
46601,,Diagnostic anoscopy,A
46604,,Anoscopy and dilation,A
46606,,Anoscopy and biopsy,A
46607,,Diagnostic anoscopy & biopsy,A
46608,,Anoscopy remove for body,A
46610,,Anoscopy remove lesion,A
46611,,Anoscopy,A
46612,,Anoscopy remove lesions,A
46614,,Anoscopy control bleeding,A
46615,,Anoscopy,A
46700,,Repair of anal stricture,A
46705,,Repair of anal stricture,A
46706,,Repr of anal fistula w/glue,A
46707,,Repair anorectal fist w/plug,A
46710,,Repr per/vag pouch sngl proc,A
46712,,Repr per/vag pouch dbl proc,A
46715,,Rep perf anoper fistu,A
46716,,Rep perf anoper/vestib fistu,A
46730,,Construction of absent anus,A
46735,,Construction of absent anus,A
46740,,Construction of absent anus,A
46742,,Repair of imperforated anus,A
46744,,Repair of cloacal anomaly,A
46746,,Repair of cloacal anomaly,A
46748,,Repair of cloacal anomaly,A
46750,,Repair of anal sphincter,A
46751,,Repair of anal sphincter,A
46753,,Reconstruction of anus,A
46754,,Removal of suture from anus,A
46760,,Repair of anal sphincter,A
46761,,Repair of anal sphincter,A
46900,,Destruction anal lesion(s),A
46910,,Destruction anal lesion(s),A
46916,,Cryosurgery anal lesion(s),A
46917,,Laser surgery anal lesions,A
46922,,Excision of anal lesion(s),A
46924,,Destruction anal lesion(s),A
46930,,Destroy internal hemorrhoids,A
46940,,Treatment of anal fissure,A
46942,,Treatment of anal fissure,A
46945,,Int hrhc lig 1 hroid w/o img,A
46946,,Int hrhc lig 2+hroid w/o img,A
46947,,Hemorrhoidopexy by stapling,A
46948,,Int hrhc tranal dartlzj 2+,A
46999,,Unlisted procedure anus,C
47000,,Needle biopsy of liver,A
47001,,Needle biopsy liver add-on,A
47010,,Open drainage liver lesion,A
47015,,Inject/aspirate liver cyst,A
47100,,Wedge biopsy of liver,A
47120,,Partial removal of liver,A
47122,,Extensive removal of liver,A
47125,,Partial removal of liver,A
47130,,Partial removal of liver,A
47133,,Removal of donor liver,X
47135,,Transplantation of liver,R
47140,,Partial removal donor liver,A
47141,,Partial removal donor liver,A
47142,,Partial removal donor liver,A
47143,,Prep donor liver whole,C
47144,,Prep donor liver 3-segment,C
47145,,Prep donor liver lobe split,C
47146,,Prep donor liver/venous,A
47147,,Prep donor liver/arterial,A
47300,,Surgery for liver lesion,A
47350,,Repair liver wound,A
47360,,Repair liver wound,A
47361,,Repair liver wound,A
47362,,Repair liver wound,A
47370,,Laparo ablate liver tumor rf,A
47371,,Laparo ablate liver cryosurg,A
47379,,Unlisted laps px liver,C
47380,,Open ablate liver tumor rf,A
47381,,Open ablate liver tumor cryo,A
47382,,Percut ablate liver rf,A
47383,,Perq abltj lvr cryoablation,A
47399,,Unlisted procedure liver,C
47400,,Incision of liver duct,A
47420,,Incision of bile duct,A
47425,,Incision of bile duct,A
47460,,Incise bile duct sphincter,A
47480,,Incision of gallbladder,A
47490,,Incision of gallbladder,A
47531,,Injection for cholangiogram,A
47532,,Injection for cholangiogram,A
47533,,Plmt biliary drainage cath,A
47534,,Plmt biliary drainage cath,A
47535,,Conversion ext bil drg cath,A
47536,,Exchange biliary drg cath,A
47537,,Removal biliary drg cath,A
47538,,Perq plmt bile duct stent,A
47539,,Perq plmt bile duct stent,A
47540,,Perq plmt bile duct stent,A
47541,,Plmt access bil tree sm bwl,A
47542,,Dilate biliary duct/ampulla,A
47543,,Endoluminal bx biliary tree,A
47544,,Removal duct glbldr calculi,A
47550,,Bile duct endoscopy add-on,A
47552,,Biliary endo perq dx w/speci,A
47553,,Biliary endoscopy thru skin,A
47554,,Biliary endoscopy thru skin,A
47555,,Biliary endoscopy thru skin,A
47556,,Biliary endoscopy thru skin,A
47562,,Laparoscopic cholecystectomy,A
47563,,Laparo cholecystectomy/graph,A
47564,,Laparo cholecystectomy/explr,A
47570,,Laparo cholecystoenterostomy,A
47579,,Unlisted laps px biliary trc,C
47600,,Removal of gallbladder,A
47605,,Removal of gallbladder,A
47610,,Removal of gallbladder,A
47612,,Removal of gallbladder,A
47620,,Removal of gallbladder,A
47700,,Exploration of bile ducts,A
47701,,Bile duct revision,A
47711,,Excision of bile duct tumor,A
47712,,Excision of bile duct tumor,A
47715,,Excision of bile duct cyst,A
47720,,Fuse gallbladder & bowel,A
47721,,Fuse upper gi structures,A
47740,,Fuse gallbladder & bowel,A
47741,,Fuse gallbladder & bowel,A
47760,,Fuse bile ducts and bowel,A
47765,,Fuse liver ducts & bowel,A
47780,,Fuse bile ducts and bowel,A
47785,,Fuse bile ducts and bowel,A
47800,,Reconstruction of bile ducts,A
47801,,Placement bile duct support,A
47802,,Fuse liver duct & intestine,A
47900,,Suture bile duct injury,A
47999,,Unlisted px biliary tract,C
48000,,Drainage of abdomen,A
48001,,Placement of drain pancreas,A
48020,,Removal of pancreatic stone,A
48100,,Biopsy of pancreas open,A
48102,,Needle biopsy pancreas,A
48105,,Resect/debride pancreas,A
48120,,Removal of pancreas lesion,A
48140,,Partial removal of pancreas,A
48145,,Partial removal of pancreas,A
48146,,Pancreatectomy,A
48148,,Removal of pancreatic duct,A
48150,,Partial removal of pancreas,A
48152,,Pancreatectomy,A
48153,,Pancreatectomy,A
48154,,Pancreatectomy,A
48155,,Removal of pancreas,A
48160,,Pancreas removal/transplant,N
48400,,Injection intraop add-on,A
48500,,Surgery of pancreatic cyst,A
48510,,Drain pancreatic pseudocyst,A
48520,,Fuse pancreas cyst and bowel,A
48540,,Fuse pancreas cyst and bowel,A
48545,,Pancreatorrhaphy,A
48547,,Duodenal exclusion,A
48548,,Fuse pancreas and bowel,A
48550,,Donor pancreatectomy,X
48551,,Prep donor pancreas,C
48552,,Prep donor pancreas/venous,A
48554,,Transpl allograft pancreas,R
48556,,Removal allograft pancreas,A
48999,,Unlisted procedure pancreas,C
49000,,Exploration of abdomen,A
49002,,Reopening of abdomen,A
49010,,Exploration behind abdomen,A
49013,,Prpertl pel pack hemrrg trma,A
49014,,Reexploration pelvic wound,A
49020,,Drainage abdom abscess open,A
49040,,Drain open abdom abscess,A
49060,,Drain open retroperi abscess,A
49062,,Drain to peritoneal cavity,A
49082,,Abd paracentesis,A
49083,,Abd paracentesis w/imaging,A
49084,,Peritoneal lavage,A
49180,,Biopsy abdominal mass,A
49185,,Sclerotx fluid collection,A
49203,,Exc abd tum 5 cm or less,A
49204,,Exc abd tum over 5 cm,A
49205,,Exc abd tum over 10 cm,A
49215,,Excise sacral spine tumor,A
49250,,Excision of umbilicus,A
49255,,Removal of omentum,A
49320,,Diag laparo separate proc,A
49321,,Laparoscopy biopsy,A
49322,,Laparoscopy aspiration,A
49323,,Laparo drain lymphocele,A
49324,,Lap insert tunnel ip cath,A
49325,,Lap revision perm ip cath,A
49326,,Lap w/omentopexy add-on,A
49327,,Lap ins device for rt,A
49329,,Unlstd laps px abd pertm&omn,C
49400,,Air injection into abdomen,A
49402,,Remove foreign body adbomen,A
49405,,Image cath fluid colxn visc,A
49406,,Image cath fluid peri/retro,A
49407,,Image cath fluid trns/vgnl,A
49411,,Ins mark abd/pel for rt perq,A
49412,,Ins device for rt guide open,A
49418,,Insert tun ip cath perc,A
49419,,Insert tun ip cath w/port,A
49421,,Ins tun ip cath for dial opn,A
49422,,Remove tunneled ip cath,A
49423,,Exchange drainage catheter,A
49424,,Assess cyst contrast inject,A
49425,,Insert abdomen-venous drain,A
49426,,Revise abdomen-venous shunt,A
49427,,Injection abdominal shunt,A
49428,,Ligation of shunt,A
49429,,Removal of shunt,A
49435,,Insert subq exten to ip cath,A
49436,,Embedded ip cath exit-site,A
49440,,Place gastrostomy tube perc,A
49441,,Place duod/jej tube perc,A
49442,,Place cecostomy tube perc,A
49446,,Change g-tube to g-j perc,A
49450,,Replace g/c tube perc,A
49451,,Replace duod/jej tube perc,A
49452,,Replace g-j tube perc,A
49460,,Fix g/colon tube w/device,A
49465,,Fluoro exam of g/colon tube,A
49491,,Rpr hern preemie reduc,A
49492,,Rpr ing hern premie blocked,A
49495,,Rpr ing hernia baby reduc,A
49496,,Rpr ing hernia baby blocked,A
49500,,Rpr ing hernia init reduce,A
49501,,Rpr ing hernia init blocked,A
49505,,Prp i/hern init reduc >5 yr,A
49507,,Prp i/hern init block >5 yr,A
49520,,Rerepair ing hernia reduce,A
49521,,Rerepair ing hernia blocked,A
49525,,Repair ing hernia sliding,A
49540,,Repair lumbar hernia,A
49550,,Rpr rem hernia init reduce,A
49553,,Rpr fem hernia init blocked,A
49555,,Rerepair fem hernia reduce,A
49557,,Rerepair fem hernia blocked,A
49591,,Rpr aa hrn 1st < 3 cm rdc,A
49592,,Rpr aa hrn 1st < 3 ncr/strn,A
49593,,Rpr aa hrn 1st 3-10 rdc,A
49594,,Rpr aa hrn 1st 3-10 ncr/strn,A
49595,,Rpr aa hrn 1st > 10 rdc,A
49596,,Rpr aa hrn 1st > 10 ncr/strn,A
49600,,Repair umbilical lesion,A
49605,,Repair umbilical lesion,A
49606,,Repair umbilical lesion,A
49610,,Repair umbilical lesion,A
49611,,Repair umbilical lesion,A
49613,,Rpr aa hrn rcr < 3 rdc,A
49614,,Rpr aa hrn rcr < 3 ncr/strn,A
49615,,Rpr aa hrn rcr 3-10 rdc,A
49616,,Rpr aa hrn rcr 3-10 ncr/strn,A
49617,,Rpr aa hrn rcr > 10 rdc,A
49618,,Rpr aa hrn rcr > 10 ncr/strn,A
49621,,Rpr parastomal hernia rdc,A
49622,,Rpr parastomal hrna ncr/strn,A
49623,,Rmvl ninfct mesh hernia rpr,A
49650,,Lap ing hernia repair init,A
49651,,Lap ing hernia repair recur,A
49659,,Unlstd laps px hrnap hrnrphy,C
49900,,Repair of abdominal wall,A
49904,,Omental flap extra-abdom,A
49905,,Omental flap intra-abdom,A
49906,,Free omental flap microvasc,C
49999,,Unlisted px abd pertm&omn,C
50010,,Exploration of kidney,A
50020,,Renal abscess open drain,A
50040,,Nfros nfrot w/drg,A
50045,,Nephrotomy w/exploration,A
5005F,,Pt counsld on exam for moles,I
50060,,Nl removal calculus,A
50065,,Nl sec surg operj calculus,A
50070,,Nl comp cgen kdn abnormality,A
50075,,Nl rmvl lg staghorn calculus,A
50080,,Perq nl/pl lithotrp smpl<2cm,A
50081,,Perq nl/pl lithotrp cplx>2cm,A
5010F,,Macul result phy/qhp mng dm,M
50100,,Trnsxj/repos abrrnt rnl vsls,A
50120,,Pyelotomy w/exploration,A
50125,,Pyelotomy w/drg pyelostomy,A
50130,,Pyelotomy w/removal calculus,A
50135,,Pyelotomy complicated,A
5015F,,Doc fx & test/txmnt for op,M
5020F,,Txmnts 2 phys/qhp by 1 mon,I
50200,,Renal biopsy perq,A
50205,,Renal bx surg exposure kdn,A
50220,,Remove kidney open,A
50225,,Removal kidney open complex,A
50230,,Removal kidney open radical,A
50234,,Removal of kidney & ureter,A
50236,,Removal of kidney & ureter,A
50240,,Partial removal of kidney,A
50250,,Cryoablate renal mass open,A
50280,,Removal of kidney lesion,A
50290,,Removal of kidney lesion,A
50300,,Remove cadaver donor kidney,X
50320,,Remove kidney living donor,A
50323,,Prep cadaver renal allograft,C
50325,,Prep donor renal graft,C
50327,,Prep renal graft/venous,A
50328,,Prep renal graft/arterial,A
50329,,Prep renal graft/ureteral,A
50340,,Removal of kidney,A
50360,,Transplantation of kidney,A
50365,,Transplantation of kidney,A
50370,,Remove transplanted kidney,A
50380,,Reimplantation of kidney,A
50382,,Change ureter stent percut,A
50384,,Remove ureter stent percut,A
50385,,Change stent via transureth,A
50386,,Remove stent via transureth,A
50387,,Change nephroureteral cath,A
50389,,Remove renal tube w/fluoro,A
50390,,Drainage of kidney lesion,A
50391,,Instll rx agnt into rnal tub,A
50396,,Measure kidney pressure,A
50400,,Revision of kidney/ureter,A
50405,,Revision of kidney/ureter,A
50430,,Njx px nfrosgrm &/urtrgrm,A
50431,,Njx px nfrosgrm &/urtrgrm,A
50432,,Plmt nephrostomy catheter,A
50433,,Plmt nephroureteral catheter,A
50434,,Convert nephrostomy catheter,A
50435,,Exchange nephrostomy cath,A
50436,,Dilat xst trc ndurlgc px,A
50437,,Dilat xst trc new access rcs,A
5050F,,Plan 2 main dr by 1 month,M
50500,,Repair of kidney wound,A
50520,,Close kidney-skin fistula,A
50525,,Close nephrovisceral fistula,A
50526,,Close nephrovisceral fistula,A
50540,,Revision of horseshoe kidney,A
50541,,Laparo ablate renal cyst,A
50542,,Laparo ablate renal mass,A
50543,,Laparo partial nephrectomy,A
50544,,Laparoscopy pyeloplasty,A
50545,,Laparo radical nephrectomy,A
50546,,Laparoscopic nephrectomy,A
50547,,Laparo removal donor kidney,A
50548,,Laparo remove w/ureter,A
50549,,Unlisted laps px renal,C
50551,,Kidney endoscopy,A
50553,,Kidney endoscopy,A
50555,,Kidney endoscopy & biopsy,A
50557,,Kidney endoscopy & treatment,A
50561,,Kidney endoscopy & treatment,A
50562,,Renal scope w/tumor resect,A
50570,,Kidney endoscopy,A
50572,,Kidney endoscopy,A
50574,,Kidney endoscopy & biopsy,A
50575,,Kidney endoscopy,A
50576,,Kidney endoscopy & treatment,A
50580,,Kidney endoscopy & treatment,A
50590,,Fragmenting of kidney stone,A
50592,,Perc rf ablate renal tumor,A
50593,,Perc cryo ablate renal tum,A
5060F,,Fndngs mammo 2pt w/in 3 days,I
50600,,Exploration of ureter,A
50605,,Insert ureteral support,A
50606,,Endoluminal bx urtr rnl plvs,A
50610,,Removal of ureter stone,A
5062F,,Mammo result com to pt 5 day,I
50620,,Removal of ureter stone,A
50630,,Removal of ureter stone,A
50650,,Removal of ureter,A
50660,,Removal of ureter,A
50684,,Injection for ureter x-ray,A
50686,,Measure ureter pressure,A
50688,,Change of ureter tube/stent,A
50690,,Injection for ureter x-ray,A
50693,,Plmt ureteral stent prq,A
50694,,Plmt ureteral stent prq,A
50695,,Plmt ureteral stent prq,A
50700,,Revision of ureter,A
50705,,Ureteral embolization/occl,A
50706,,Balloon dilate urtrl strix,A
50715,,Release of ureter,A
50722,,Release of ureter,A
50725,,Release/revise ureter,A
50727,,Revise ureter,A
50728,,Revise ureter,A
50740,,Fusion of ureter & kidney,A
50750,,Fusion of ureter & kidney,A
50760,,Fusion of ureters,A
50770,,Splicing of ureters,A
50780,,Reimplant ureter in bladder,A
50782,,Reimplant ureter in bladder,A
50783,,Reimplant ureter in bladder,A
50785,,Reimplant ureter in bladder,A
50800,,Implant ureter in bowel,A
50810,,Fusion of ureter & bowel,A
50815,,Urine shunt to intestine,A
50820,,Construct bowel bladder,A
50825,,Construct bowel bladder,A
50830,,Revise urine flow,A
50840,,Replace ureter by bowel,A
50845,,Appendico-vesicostomy,A
50860,,Transplant ureter to skin,A
50900,,Repair of ureter,A
50920,,Closure ureter/skin fistula,A
50930,,Closure ureter/bowel fistula,A
50940,,Release of ureter,A
50945,,Laparoscopy ureterolithotomy,A
50947,,Laparo new ureter/bladder,A
50948,,Laparo new ureter/bladder,A
50949,,Unlisted laps px ureter,C
50951,,Endoscopy of ureter,A
50953,,Endoscopy of ureter,A
50955,,Ureter endoscopy & biopsy,A
50957,,Ureter endoscopy & treatment,A
50961,,Ureter endoscopy & treatment,A
50970,,Ureter endoscopy,A
50972,,Ureter endoscopy & catheter,A
50974,,Ureter endoscopy & biopsy,A
50976,,Ureter endoscopy & treatment,A
50980,,Ureter endoscopy & treatment,A
5100F,,Rsk fx ref w/n 24 hrs xray,I
51020,,Incise & treat bladder,A
51030,,Incise & treat bladder,A
51040,,Incise & drain bladder,A
51045,,Incise bladder/drain ureter,A
51050,,Removal of bladder stone,A
51060,,Removal of ureter stone,A
51065,,Remove ureter calculus,A
51080,,Drainage of bladder abscess,A
51100,,Drain bladder by needle,A
51101,,Drain bladder by trocar/cath,A
51102,,Drain bl w/cath insertion,A
51500,,Removal of bladder cyst,A
51520,,Removal of bladder lesion,A
51525,,Removal of bladder lesion,A
51530,,Removal of bladder lesion,A
51535,,Repair of ureter lesion,A
51550,,Partial removal of bladder,A
51555,,Partial removal of bladder,A
51565,,Revise bladder & ureter(s),A
51570,,Removal of bladder,A
51575,,Removal of bladder & nodes,A
51580,,Remove bladder/revise tract,A
51585,,Removal of bladder & nodes,A
51590,,Remove bladder/revise tract,A
51595,,Remove bladder/revise tract,A
51596,,Remove bladder/create pouch,A
51597,,Removal of pelvic structures,A
51600,,Injection for bladder x-ray,A
51605,,Preparation for bladder xray,A
51610,,Injection for bladder x-ray,A
51700,,Irrigation of bladder,A
51701,,Insert bladder catheter,A
51702,,Insert temp bladder cath,A
51703,,Insert bladder cath complex,A
51705,,Change of bladder tube,A
51710,,Change of bladder tube,A
51715,,Endoscopic injection/implant,A
51720,,Treatment of bladder lesion,A
51725,,Simple cystometrogram,A
51725,TC,Simple cystometrogram,A
51725,26,Simple cystometrogram,A
51726,,Complex cystometrogram,A
51726,TC,Complex cystometrogram,A
51726,26,Complex cystometrogram,A
51727,,Cystometrogram w/up,A
51727,TC,Cystometrogram w/up,A
51727,26,Cystometrogram w/up,A
51728,,Cystometrogram w/vp,A
51728,TC,Cystometrogram w/vp,A
51728,26,Cystometrogram w/vp,A
51729,,Cystometrogram w/vp&up,A
51729,TC,Cystometrogram w/vp&up,A
51729,26,Cystometrogram w/vp&up,A
51736,,Urine flow measurement,A
51736,TC,Urine flow measurement,A
51736,26,Urine flow measurement,A
51741,,Electro-uroflowmetry first,A
51741,TC,Electro-uroflowmetry first,A
51741,26,Electro-uroflowmetry first,A
51784,,Anal/urinary muscle study,A
51784,TC,Anal/urinary muscle study,A
51784,26,Anal/urinary muscle study,A
51785,,Anal/urinary muscle study,A
51785,TC,Anal/urinary muscle study,A
51785,26,Anal/urinary muscle study,A
51792,,Urinary reflex study,A
51792,TC,Urinary reflex study,A
51792,26,Urinary reflex study,A
51797,,Intraabdominal pressure test,A
51797,TC,Intraabdominal pressure test,A
51797,26,Intraabdominal pressure test,A
51798,,Us urine capacity measure,A
51800,,Revision of bladder/urethra,A
51820,,Revision of urinary tract,A
51840,,Attach bladder/urethra,A
51841,,Attach bladder/urethra,A
51845,,Repair bladder neck,A
51860,,Repair of bladder wound,A
51865,,Repair of bladder wound,A
51880,,Repair of bladder opening,A
51900,,Repair bladder/vagina lesion,A
51920,,Close bladder-uterus fistula,A
51925,,Hysterectomy/bladder repair,A
51940,,Correction of bladder defect,A
51960,,Revision of bladder & bowel,A
51980,,Construct bladder opening,A
51990,,Laparo urethral suspension,A
51992,,Laparo sling operation,A
51999,,Unlisted laps px bladder,C
5200F,,Eval appros surg thxpy epi,I
52000,,Cystoscopy,A
52001,,Cystoscopy removal of clots,A
52005,,Cystoscopy & ureter catheter,A
52007,,Cystoscopy and biopsy,A
52010,,Cystoscopy & duct catheter,A
52204,,Cystoscopy w/biopsy(s),A
52214,,Cystoscopy and treatment,A
52224,,Cystoscopy and treatment,A
52234,,Cystoscopy and treatment,A
52235,,Cystoscopy and treatment,A
52240,,Cystoscopy and treatment,A
52250,,Cystoscopy and radiotracer,A
52260,,Cystoscopy and treatment,A
52265,,Cystoscopy and treatment,A
52270,,Cystoscopy & revise urethra,A
52275,,Cystoscopy & revise urethra,A
52276,,Cystoscopy and treatment,A
52277,,Cystoscopy and treatment,A
52281,,Cystoscopy and treatment,A
52282,,Cystoscopy implant stent,A
52283,,Cystoscopy and treatment,A
52284,,Cysto rx balo cath urtl strx,A
52285,,Cystoscopy and treatment,A
52287,,Cystoscopy chemodenervation,A
52290,,Cystoscopy and treatment,A
52300,,Cystoscopy and treatment,A
52301,,Cystoscopy and treatment,A
52305,,Cystoscopy and treatment,A
52310,,Cystoscopy and treatment,A
52315,,Cystoscopy and treatment,A
52317,,Remove bladder stone,A
52318,,Remove bladder stone,A
52320,,Cystoscopy and treatment,A
52325,,Cystoscopy stone removal,A
52327,,Cystoscopy inject material,A
52330,,Cystoscopy and treatment,A
52332,,Cystoscopy and treatment,A
52334,,Create passage to kidney,A
52341,,Cysto w/ureter stricture tx,A
52342,,Cysto w/up stricture tx,A
52343,,Cysto w/renal stricture tx,A
52344,,Cysto/uretero stricture tx,A
52345,,Cysto/uretero w/up stricture,A
52346,,Cystouretero w/renal strict,A
52351,,Cystouretero & or pyeloscope,A
52352,,Cystouretero w/stone remove,A
52353,,Cystouretero w/lithotripsy,A
52354,,Cystouretero w/biopsy,A
52355,,Cystouretero w/excise tumor,A
52356,,Cysto/uretero w/lithotripsy,A
52400,,Cystouretero w/congen repr,A
52402,,Cystourethro cut ejacul duct,A
52441,,Cystourethro w/implant,A
52442,,Cystourethro w/addl implant,A
52450,,Incision of prostate,A
5250F,,Asthma discharge plan presnt,I
52500,,Revision of bladder neck,A
52601,,Prostatectomy (turp),A
52630,,Remove prostate regrowth,A
52640,,Relieve bladder contracture,A
52647,,Laser surgery of prostate,A
52648,,Laser surgery of prostate,A
52649,,Prostate laser enucleation,A
52700,,Drainage of prostate abscess,A
53000,,Incision of urethra,A
53010,,Incision of urethra,A
53020,,Incision of urethra,A
53025,,Incision of urethra,A
53040,,Drainage of urethra abscess,A
53060,,Drainage of urethra abscess,A
53080,,Drainage of urinary leakage,A
53085,,Drainage of urinary leakage,A
53200,,Biopsy of urethra,A
53210,,Removal of urethra,A
53215,,Removal of urethra,A
53220,,Treatment of urethra lesion,A
53230,,Removal of urethra lesion,A
53235,,Removal of urethra lesion,A
53240,,Surgery for urethra pouch,A
53250,,Removal of urethra gland,A
53260,,Treatment of urethra lesion,A
53265,,Treatment of urethra lesion,A
53270,,Removal of urethra gland,A
53275,,Repair of urethra defect,A
53400,,Revise urethra stage 1,A
53405,,Revise urethra stage 2,A
53410,,Reconstruction of urethra,A
53415,,Reconstruction of urethra,A
53420,,Reconstruct urethra stage 1,A
53425,,Reconstruct urethra stage 2,A
53430,,Reconstruction of urethra,A
53431,,Reconstruct urethra/bladder,A
53440,,Male sling procedure,A
53442,,Remove/revise male sling,A
53444,,Insert tandem cuff,A
53445,,Insert uro/ves nck sphincter,A
53446,,Remove uro sphincter,A
53447,,Remove/replace ur sphincter,A
53448,,Remov/replc ur sphinctr comp,A
53449,,Repair uro sphincter,A
53450,,Revision of urethra,A
53451,,Tprnl balo cntnc dev bi,C
53452,,Tprnl balo cntnc dev uni,C
53453,,Tprnl balo cntnc dev rmvl ea,C
53454,,Tprnl balo cntnc dev adjmt,C
53460,,Revision of urethra,A
53500,,Urethrlys transvag w/ scope,A
53502,,Repair of urethra injury,A
53505,,Repair of urethra injury,A
53510,,Repair of urethra injury,A
53515,,Repair of urethra injury,A
53520,,Repair of urethra defect,A
53600,,Dilate urethra stricture,A
53601,,Dilate urethra stricture,A
53605,,Dilate urethra stricture,A
53620,,Dilate urethra stricture,A
53621,,Dilate urethra stricture,A
53660,,Dilation of urethra,A
53661,,Dilation of urethra,A
53665,,Dilation of urethra,A
53850,,Prostatic microwave thermotx,A
53852,,Prostatic rf thermotx,A
53854,,Trurl dstrj prst8 tiss rf wv,A
53855,,Insert prost urethral stent,A
53860,,Transurethral rf treatment,A
53899,,Unlisted px urinary system,C
54000,,Slitting of prepuce,A
54001,,Slitting of prepuce,A
54015,,Drain penis lesion,A
54050,,Destruction penis lesion(s),A
54055,,Destruction penis lesion(s),A
54056,,Cryosurgery penis lesion(s),A
54057,,Laser surg penis lesion(s),A
54060,,Excision of penis lesion(s),A
54065,,Destruction penis lesion(s),A
54100,,Biopsy of penis,A
54105,,Biopsy of penis,A
54110,,Treatment of penis lesion,A
54111,,Treat penis lesion graft,A
54112,,Treat penis lesion graft,A
54115,,Treatment of penis lesion,A
54120,,Partial removal of penis,A
54125,,Removal of penis,A
54130,,Remove penis & nodes,A
54135,,Remove penis & nodes,A
54150,,Circumcision w/regionl block,A
54160,,Circumcision neonate,A
54161,,Circum 28 days or older,A
54162,,Lysis penil circumic lesion,A
54163,,Repair of circumcision,A
54164,,Frenulotomy of penis,A
54200,,Treatment of penis lesion,A
54205,,Treatment of penis lesion,A
54220,,Treatment of penis lesion,A
54230,,Prepare penis study,A
54231,,Dynamic cavernosometry,A
54235,,Penile injection,A
54240,,Penis study,A
54240,TC,Penis study,A
54240,26,Penis study,A
54250,,Penis study,A
54250,TC,Penis study,A
54250,26,Penis study,A
54300,,Revision of penis,A
54304,,Revision of penis,A
54308,,Reconstruction of urethra,A
54312,,Reconstruction of urethra,A
54316,,Reconstruction of urethra,A
54318,,Reconstruction of urethra,A
54322,,Reconstruction of urethra,A
54324,,Reconstruction of urethra,A
54326,,Reconstruction of urethra,A
54328,,Revise penis/urethra,A
54332,,Revise penis/urethra,A
54336,,Revise penis/urethra,A
54340,,Rpr hypspad comp simple,A
54344,,Rrp hypspad comp moblj&urtp,A
54348,,Rpr hypspad comp dsj & urtp,A
54352,,Revj prior hypspad repair,A
54360,,Penis plastic surgery,A
54380,,Repair penis,A
54385,,Repair penis,A
54390,,Repair penis and bladder,A
54400,,Insert semi-rigid prosthesis,A
54401,,Insert self-contd prosthesis,A
54405,,Insert multi-comp penis pros,A
54406,,Remove muti-comp penis pros,A
54408,,Repair multi-comp penis pros,A
54410,,Remove/replace penis prosth,A
54411,,Remov/replc penis pros comp,A
54415,,Remove self-contd penis pros,A
